,0,1
0,ikun,2418
1,蔡徐坤,2151
2,小黑子,1879
3,坤坤,1854
4,真的,1684
5,喜欢,1279
6,你干嘛,1193
7,没有,1102
8,视频,1046
9,不是,908
10,只因,823
11,up,818
12,知道,788
13,大哭,727
14,练习,700
15,系列,686
16,热词,679
17,两年半,616
18,食不食,597
19,哎呦,585
20,荔枝,578
21,现在,577
22,优雅,572
23,吃瓜,566
24,觉得,563
25,tv,563
26,微笑,555
27,生气,544
28,眼睛,539
29,不会,532
30,篮球,530
31,学习,521
32,油饼,500
33,已经,491
34,哥哥,484
35,滑稽,462
36,不要,452
37,call,421
38,白带,420
39,我家,416
40,看到,413
41,感觉,411
42,动作,410
43,一下,403
44,IKUN,389
45,老师,373
46,傲娇,367
47,舞蹈,360
48,666,357
49,粉丝,355
