,0,1
0,ikun,794
1,坤坤,723
2,蔡徐坤,678
3,真的,580
4,小黑子,452
5,视频,387
6,两年半,375
7,学习,367
8,up,365
9,白带,341
10,学会,305
11,大哭,295
12,异常,291
13,练习,278
14,舞蹈,267
15,没有,266
16,热词,250
17,系列,248
18,动作,235
19,喜欢,223
20,宅舞,223
21,老师,217
22,教学,216
23,tv,209
24,认真,207
25,不会,206
26,知道,192
27,微笑,184
28,专业,182
29,精选,181
30,实名,180
31,不是,175
32,滑稽,168
33,吃瓜,167
34,眼睛,164
35,喜极而泣,161
36,模仿,158
37,IKUN,154
38,已经,153
39,频道,148
40,call,145
41,铁山,141
42,收藏,141
43,现在,140
44,汤姆,136
45,鸡脚,136
46,鸡哥,133
47,一定,133
48,666,129
49,篮球,126
